形态,方向,过滤器,SL,交易数,胜,负,胜率%,随机WR%,Z值,显著,平均盈亏,盈亏/ATR,盈亏比,止损率%
CDLSHORTLINE,bear,none,2.25,501,252,249,50.3,48.0,1.04,N,0.16,0.023,1.03,4.6
CDLSHORTLINE,bear,none,2.5,501,252,249,50.3,49.8,0.24,N,0.07,0.017,1.01,3.6
CDLSHORTLINE,bear,none,2.75,501,253,248,50.5,51.4,-0.39,N,0.1,0.018,1.02,3.0
CDLSHORTLINE,bear,none,3.0,501,253,248,50.5,50.0,0.24,N,0.03,0.012,1.0,2.4
CDLLONGLINE,bear,rsi_mid_overbought,0.5,66,25,41,37.9,34.7,0.54,N,0.26,0.004,1.06,60.6
CDLLONGLINE,bear,rsi_mid_overbought,0.75,66,32,34,48.5,46.6,0.31,N,0.34,0.016,1.07,37.9
CDLLONGLINE,bear,rsi_mid_overbought,1.0,66,35,31,53.0,51.1,0.31,N,0.35,0.038,1.07,22.7
CDLLONGLINE,bear,rsi_mid_overbought,1.25,66,35,31,53.0,47.3,0.92,N,0.3,0.018,1.06,16.7
CDLLONGLINE,bear,rsi_mid_overbought,1.5,66,35,31,53.0,52.1,0.14,N,-0.02,-0.008,1.0,13.6
CDLLONGLINE,bear,rsi_mid_overbought,1.75,66,35,31,53.0,51.4,0.27,N,0.06,0.004,1.01,4.5
CDLLONGLINE,bear,rsi_mid_overbought,2.0,66,35,31,53.0,46.7,1.03,N,-0.02,0.001,1.0,3.0
CDLLONGLINE,bear,rsi_mid_overbought,2.25,66,35,31,53.0,51.0,0.33,N,-0.16,-0.007,0.97,3.0
CDLLONGLINE,bear,rsi_mid_overbought,2.5,66,35,31,53.0,49.9,0.51,N,-0.29,-0.014,0.95,3.0
CDLLONGLINE,bear,rsi_mid_overbought,2.75,66,35,31,53.0,49.9,0.51,N,-0.04,0.001,0.99,0.0
CDLLONGLINE,bear,rsi_mid_overbought,3.0,66,35,31,53.0,49.7,0.53,N,-0.04,0.001,0.99,0.0
CDLLONGLEGGEDDOJI,bull,none,0.5,387,125,262,32.3,33.2,-0.39,N,-0.27,nan,0.94,63.8
CDLLONGLEGGEDDOJI,bull,none,0.75,387,164,223,42.4,42.8,-0.17,N,-0.01,nan,1.0,44.7
CDLLONGLEGGEDDOJI,bull,none,1.0,387,180,207,46.5,46.7,-0.07,N,-0.12,nan,0.98,32.3
CDLLONGLEGGEDDOJI,bull,none,1.25,387,190,197,49.1,48.1,0.41,N,0.03,nan,1.0,23.3
CDLLONGLEGGEDDOJI,bull,none,1.5,387,196,191,50.6,49.4,0.5,N,-0.08,nan,0.99,17.6
CDLLONGLEGGEDDOJI,bull,none,1.75,387,199,188,51.4,51.0,0.17,N,0.33,nan,1.06,11.9
CDLLONGLEGGEDDOJI,bull,none,2.0,387,199,188,51.4,50.4,0.4,N,0.25,nan,1.04,8.8
CDLLONGLEGGEDDOJI,bull,none,2.25,387,199,188,51.4,49.6,0.7,N,0.33,nan,1.06,6.5
CDLLONGLEGGEDDOJI,bull,none,2.5,387,199,188,51.4,48.8,1.02,N,0.13,nan,1.02,6.2
CDLLONGLEGGEDDOJI,bull,none,2.75,387,199,188,51.4,49.2,0.86,N,0.3,nan,1.05,4.4
CDLLONGLEGGEDDOJI,bull,none,3.0,387,199,188,51.4,50.5,0.35,N,0.3,nan,1.05,3.9
CDLTAKURI,bull,rsi_mid_oversold,0.5,22,10,12,45.5,36.4,0.89,N,2.81,0.239,1.64,54.5
CDLTAKURI,bull,rsi_mid_oversold,0.75,22,12,10,54.5,43.9,1.0,N,2.42,0.258,1.44,40.9
CDLTAKURI,bull,rsi_mid_oversold,1.0,22,13,9,59.1,51.5,0.71,N,3.43,0.332,1.71,18.2
CDLTAKURI,bull,rsi_mid_oversold,1.25,22,13,9,59.1,52.7,0.6,N,3.28,0.316,1.66,13.6
CDLTAKURI,bull,rsi_mid_oversold,1.5,22,13,9,59.1,50.8,0.78,N,2.82,0.282,1.52,13.6
CDLTAKURI,bull,rsi_mid_oversold,1.75,22,13,9,59.1,49.6,0.89,N,3.43,0.319,1.71,4.5
CDLTAKURI,bull,rsi_mid_oversold,2.0,22,13,9,59.1,49.2,0.92,N,3.27,0.308,1.66,4.5
CDLTAKURI,bull,rsi_mid_oversold,2.25,22,13,9,59.1,50.8,0.78,N,4.33,0.383,2.11,0.0
CDLTAKURI,bull,rsi_mid_oversold,2.5,22,13,9,59.1,50.0,0.85,N,4.33,0.383,2.11,0.0
CDLTAKURI,bull,rsi_mid_oversold,2.75,22,13,9,59.1,55.3,0.36,N,4.33,0.383,2.11,0.0
CDLTAKURI,bull,rsi_mid_oversold,3.0,22,13,9,59.1,52.3,0.64,N,4.33,0.383,2.11,0.0
CDLDOJI,bull,atr_high,0.5,104,37,67,35.6,36.0,-0.09,N,-0.27,-0.032,0.95,60.6
CDLDOJI,bull,atr_high,0.75,104,45,59,43.3,43.0,0.05,N,-0.17,-0.041,0.97,38.5
