形态,方向,过滤器,最佳SL,交易数,胜率%,Z值,显著,盈亏比,盈亏/ATR,止损率%,是否达标
CDLSHORTLINE,bear,atr_low,0.5,206,38.3,0.11,N,1.01,-0.012,52.4,N
CDLXSIDEGAP3METHODS,bear,trend_down,0.5,12,33.3,0.1,N,0.81,-0.005,58.3,N
CDLSHOOTINGSTAR,bear,none,2.75,20,45.0,0.08,N,0.61,-0.15,5.0,N
CDLGRAVESTONEDOJI,bear,none,0.5,39,35.9,0.06,N,1.02,-0.011,53.8,N
CDL3OUTSIDE,bear,atr_high,0.75,33,39.4,-0.03,N,0.8,-0.098,51.5,N
CDLENGULFING,bear,rsi_oversold,2.75,10,40.0,-0.05,N,0.59,-0.287,0.0,N
CDLHIGHWAVE,bull,none,2.75,241,47.7,-0.06,N,0.88,nan,4.6,N
CDLENGULFING,bull,rsi_mid_oversold,0.5,48,35.4,-0.17,N,1.09,0.019,58.3,N
CDLLONGLEGGEDDOJI,bull,trend_up,0.75,118,40.7,-0.17,N,0.87,-0.061,38.1,N
CDLLONGLINE,bull,rsi_mid_oversold,1.5,62,43.5,-0.17,N,0.65,-0.157,24.2,N
CDLRICKSHAWMAN,bull,atr_high,1.5,67,46.3,-0.18,N,0.95,-0.013,13.4,N
CDLSHOOTINGSTAR,bear,trend_up,2.0,12,41.7,-0.19,N,0.28,-0.391,8.3,N
CDLGRAVESTONEDOJI,bear,trend_up,0.5,18,33.3,-0.21,N,0.53,-0.145,55.6,N
CDLHARAMICROSS,bull,rsi_mid_oversold,1.25,14,42.9,-0.22,N,1.07,0.01,21.4,N
CDLHIGHWAVE,bull,atr_high,0.75,66,39.4,-0.25,N,0.92,-0.038,43.9,N
CDLDRAGONFLYDOJI,bull,none,0.75,43,41.9,-0.26,N,1.01,-0.016,34.9,N
CDLGRAVESTONEDOJI,bear,atr_low,0.75,25,40.0,-0.27,N,0.82,-0.025,20.0,N
CDLTAKURI,bull,none,1.75,43,44.2,-0.28,N,0.87,-0.066,7.0,N
CDLHARAMICROSS,bull,atr_high,3.0,14,35.7,-0.32,N,0.56,-0.229,0.0,N
CDLLONGLEGGEDDOJI,bull,atr_high,1.0,95,43.2,-0.34,N,0.8,-0.078,30.5,N
CDLRICKSHAWMAN,bull,trend_up,0.5,81,33.3,-0.39,N,0.96,-0.027,56.8,N
CDLDOJI,bull,trend_up,0.5,118,33.9,-0.43,N,0.83,-0.067,57.6,N
CDLSPINNINGTOP,bull,trend_up,0.75,170,40.6,-0.44,N,0.82,-0.087,41.8,N
CDLHIGHWAVE,bear,rsi_mid_overbought,1.5,43,41.9,-0.48,N,0.66,-0.117,14.0,N
