形态,方向,过滤器,最佳SL,交易数,胜率%,Z值,显著,盈亏比,盈亏/ATR,止损率%,是否达标
CDLHIKKAKE,bull,atr_high,0.5,101,31.7,0.13,N,0.91,-0.062,60.4,N
CDLBELTHOLD,bull,trend_up,3.0,160,48.8,0.11,N,0.9,-0.061,5.0,N
CDLHIKKAKE,bull,trend_down,0.5,176,30.7,0.11,N,1.01,-0.038,61.9,N
CDLLONGLINE,bull,none,0.75,411,43.3,0.05,N,1.08,0.05,42.6,N
CDLXSIDEGAP3METHODS,bull,none,2.0,40,45.0,0.05,N,1.04,-0.03,12.5,N
CDLINVERTEDHAMMER,bull,none,0.75,22,45.5,-0.0,N,0.72,-0.054,40.9,N
CDLLONGLEGGEDDOJI,bull,atr_low,2.0,246,47.6,-0.05,N,1.08,-0.037,8.9,N
CDLLONGLINE,bull,trend_up,1.25,207,47.3,-0.1,N,1.14,0.046,21.7,N
CDLDOJI,bull,atr_low,2.25,247,47.8,-0.13,N,1.07,-0.04,6.9,N
CDLHAMMER,bull,rsi_mid_oversold,0.5,32,25.0,-0.13,N,0.43,-0.171,65.6,N
CDLDRAGONFLYDOJI,bull,none,1.25,38,42.1,-0.16,N,0.43,-0.258,23.7,N
CDLHARAMI,bear,trend_down,2.25,72,44.4,-0.16,N,0.58,-0.076,5.6,N
CDLHIKKAKE,bear,none,0.5,338,33.7,-0.17,N,1.01,-0.011,60.7,N
CDLHARAMI,bear,atr_high,1.25,37,40.5,-0.22,N,0.33,-0.279,32.4,N
CDLHARAMI,bull,rsi_mid_oversold,0.75,35,40.0,-0.23,N,0.64,-0.082,40.0,N
CDLHANGINGMAN,bear,rsi_mid_overbought,0.5,20,30.0,-0.28,N,1.37,-0.018,55.0,N
CDLHAMMER,bull,trend_down,0.5,39,30.8,-0.31,N,0.85,-0.049,61.5,N
CDLMATCHINGLOW,bull,none,0.5,35,31.4,-0.36,N,0.61,-0.12,60.0,N
CDLHANGINGMAN,bear,trend_up,0.5,29,24.1,-0.38,N,0.8,-0.098,55.2,N
CDLBELTHOLD,bear,atr_high,0.5,119,30.3,-0.41,N,0.84,-0.032,63.0,N
CDLHAMMER,bull,none,2.75,69,43.5,-0.42,N,0.53,-0.244,8.7,N
CDLHAMMER,bull,trend_up,1.25,29,41.4,-0.47,N,0.63,-0.195,24.1,N
CDLENGULFING,bear,none,3.0,296,47.6,-0.51,N,0.86,nan,3.7,N
CDLENGULFING,bear,atr_low,1.5,210,46.7,-0.56,N,0.88,-0.057,19.0,N
CDLXSIDEGAP3METHODS,bull,atr_low,1.5,29,37.9,-0.59,N,0.91,-0.112,24.1,N
CDLSPINNINGTOP,bull,rsi_oversold,2.0,32,40.6,-0.65,N,0.99,-0.08,18.8,N
CDLLONGLINE,bull,atr_high,2.5,121,43.8,-0.71,N,1.16,0.021,5.0,N
CDLTAKURI,bull,trend_up,2.5,25,36.0,-0.74,N,0.35,-0.292,0.0,N
CDLENGULFING,bear,trend_up,1.0,132,43.2,-0.87,N,0.8,-0.092,35.6,N
CDLHAMMER,bull,atr_low,0.5,53,24.5,-0.9,N,0.58,-0.186,69.8,N
CDLDOJI,bull,trend_up,3.0,177,45.2,-0.96,N,0.86,-0.052,2.3,N
CDLMATCHINGLOW,bull,atr_low,0.5,27,22.2,-0.97,N,0.28,-0.232,70.4,N
CDLHANGINGMAN,bear,none,0.5,41,24.4,-1.06,N,0.85,-0.122,58.5,N
CDLLONGLEGGEDDOJI,bull,trend_up,1.75,176,44.9,-1.07,N,0.87,-0.054,10.8,N
CDLBELTHOLD,bull,rsi_mid_oversold,0.75,69,34.8,-1.1,N,0.69,-0.144,52.2,N
CDLDRAGONFLYDOJI,bull,trend_up,2.25,26,34.6,-1.18,N,0.32,-0.367,3.8,N
CDLHANGINGMAN,bear,atr_low,0.5,27,22.2,-1.35,N,0.55,-0.162,59.3,N
