形态,方向,过滤器,最佳SL,交易数,胜率%,Z值,显著,盈亏比,盈亏/ATR,止损率%,是否达标
CDLADVANCEBLOCK,bear,atr_high,0.5,43,23.3,-0.71,N,0.33,-0.185,62.8,N
CDLLONGLINE,bull,atr_high,1.75,497,45.9,-0.75,N,0.85,-0.045,12.9,N
CDL3INSIDE,bull,none,1.0,96,37.5,-0.76,N,1.02,0.105,36.5,N
CDLGAPSIDESIDEWHITE,bull,none,2.75,29,41.4,-0.77,N,2.34,0.048,3.4,N
CDLLONGLINE,bear,trend_up,1.0,1097,43.2,-0.77,N,0.88,-0.006,35.1,N
CDL3LINESTRIKE,bear,trend_up,2.5,23,39.1,-0.8,N,2.17,0.041,8.7,N
CDLDRAGONFLYDOJI,bull,rsi_overbought,1.5,40,37.5,-0.82,N,0.47,-0.194,17.5,N
CDLADVANCEBLOCK,bear,rsi_overbought,0.75,60,28.3,-0.84,N,0.53,-0.205,46.7,N
CDLINVERTEDHAMMER,bull,trend_up,0.75,26,38.5,-0.85,N,1.57,0.312,42.3,N
CDLMORNINGSTAR,bull,rsi_mid_oversold,1.25,20,35.0,-0.86,N,0.45,-0.246,40.0,N
CDLLONGLINE,bear,none,3.0,1887,48.2,-0.87,N,0.94,nan,3.3,N
CDLHARAMI,bull,trend_down,0.75,344,38.4,-0.89,N,0.87,-0.008,47.4,N
CDLEVENINGSTAR,bear,none,0.5,50,26.0,-0.96,N,0.54,-0.165,68.0,N
CDL3INSIDE,bull,atr_high,3.0,36,38.9,-1.0,N,0.49,-0.227,0.0,N
CDLHARAMICROSS,bear,atr_high,0.5,68,30.9,-1.05,N,0.89,-0.038,55.9,N
CDLSHOOTINGSTAR,bear,atr_high,1.5,28,35.7,-1.11,N,0.27,-0.27,7.1,N
CDLEVENINGSTAR,bear,trend_up,0.5,24,25.0,-1.13,N,0.28,-0.169,70.8,N
CDLMATCHINGLOW,bull,atr_high,2.5,65,40.0,-1.14,N,0.66,-0.14,6.2,N
CDLHARAMICROSS,bear,rsi_overbought,0.5,21,14.3,-1.31,N,0.14,-0.362,76.2,N
CDL3INSIDE,bear,rsi_mid_overbought,1.25,21,28.6,-1.32,N,0.15,-0.521,42.9,N
CDLHANGINGMAN,bear,trend_down,0.5,112,30.4,-1.39,N,0.77,-0.102,47.3,N
CDLMATCHINGLOW,bull,none,3.0,196,41.8,-2.24,N,0.55,-0.195,6.6,N
CDLMATCHINGLOW,bull,trend_up,2.25,95,30.5,-3.44,N,0.55,-0.183,6.3,N
