ticket,strategy,magic,direction,volume,entry_time,entry_price,exit_time,exit_price,pnl,commission,net_pnl,exit_reason,stop_loss,take_profit,entry_bid,entry_ask
90000002,sanqing_h1_upgraded_SELL,880108,SELL,0.01,2026-07-20 14:48:40,4006.44,,,,,,,4024.39,3970.06,4006.51,4006.91
90000003,sanqing_h1_SELL,880107,SELL,0.01,2026-07-20 14:49:46,4006.22,,,,,,,4054.41,1596.27,4006.15,4006.55
90000002,,,,,,,2026-07-20 14:55:03,4005.6,0.84,1.0,-0.16,,,,,
90000004,sanqing_h1_upgraded_SELL,880108,SELL,0.01,2026-07-20 14:55:58,4005.14,,,,,,,4023.44,3968.48,4005.15,4005.55
90000004,,,,,,,2026-07-20 15:02:49,4005.6,-0.46,1.0,-1.46,,,,,
90000000,sanqing_h1_SELL,880107,SELL,0.01,2026-07-20 15:22:18,4003.31,,,,,,,4041.83,2084.01,4003.42,4003.82
90000001,sanqing_h1_upgraded_SELL,880108,SELL,0.01,2026-07-20 15:22:21,4003.31,,,,,,,4017.07,3975.78,4005.52,4005.92
90000002,m30_bb_deepreturn_optimized_SELL,661102,SELL,0.01,2026-07-20 15:23:37,4005.37,,,,,,,4018.05,3397.98,4004.98,4005.38
90000003,stoch_trend_h1_upgraded_BUY,661203,BUY,0.01,2026-07-20 15:23:40,4005.77,,,,,,,3991.95,4032.27,4005.46,4005.86
90000001,,,,,,,2026-07-20 15:28:25,4004.47,-1.16,1.0,-2.16,,,,,
90000004,sanqing_h1_upgraded_BUY,880108,BUY,0.01,2026-07-20 15:33:04,4009.72,,,,,,,3996.65,4035.76,4010.09,4010.49
90000004,,,,,,,2026-07-20 15:38:59,4016.01,6.29,1.0,5.29,,,,,
90000002,,,,,,,2026-07-20 15:41:17,4018.81,-13.44,1.0,-14.44,,,,,
90000000,sanqing_h1_upgraded_BUY,880108,BUY,0.01,2026-07-20 15:48:30,4018.01,,,,,,,3991.48,4070.21,4017.51,4017.91
90000001,sanqing_h1_BUY,880107,BUY,0.01,2026-07-20 16:05:46,4022.43,,,,,,,3964.83,6886.78,4021.17,4021.57
90000001,,,,,,,2026-07-20 16:27:13,4025.3,2.87,1.0,1.87,,,,,
90000002,m30_bb_deepreturn_optimized_SELL,661102,SELL,0.01,2026-07-20 16:31:56,4019.88,,,,,,,4043.31,2831.22,4019.7,4020.1
90000003,stoch_trend_h1_upgraded_BUY,661203,BUY,0.01,2026-07-20 17:08:17,4018.22,,,,,,,4004.49,4045.64,4017.78,4018.18
90000002,,,,,,,2026-07-20 17:31:09,4015.58,4.3,1.0,3.3,,,,,
